operacao,data,Atendentes,Falando,Ocioso,A - Improdutiva,Receptivo,A - Alô sem CPC,A - Alô com CPC negativo,A - Alô com CPC positivo,R - Improdutiva,R - Alô sem CPC,R - Alô com CPC negativo,R - Alô com CPC positivo,TotalPositivo,TotalProdutiva,PositivoPorPA,PositivoPorTempoLogado
VEICULOS,2021-09-14,30,63.0497222,8.1402777,162,105,530,110,303,0,0,0,0,303,943,10,4.256215760640539
CARTAO,2021-09-14,3,7.0963888,0.9775000,26,285,0,7,26,14,2,1,51,77,87,25,9.536915984311567
CARTAO,2021-09-15,5,7.9500000,6.0658333,95,30,6,24,96,0,0,0,18,114,144,22,8.133658362566145
CONSIG,2021-09-15,17,72.3675000,7.1611111,178,298,67,3,775,27,1,35,185,960,1066,56,12.071127441905953
VEICULOS,2021-09-15,31,160.0761111,0.0041666,145,1580,809,36,646,0,0,0,0,646,1491,20,4.035475256338400
CARTAO,2021-09-16,5,7.5905555,7.2900000,59,56,2,27,81,4,2,1,24,105,137,21,7.056188165017734
VEICULOS,2021-09-16,31,79.0638888,9.9830555,231,698,462,42,688,0,0,0,0,688,1192,22,7.726261740842065
CONSIG,2021-09-16,16,56.0363888,3.5033333,128,496,40,3,386,27,0,26,278,664,733,41,11.152218640216849
CARTAO,2021-09-17,4,8.5622222,3.7630555,78,166,4,21,70,7,0,1,55,125,151,31,10.141759257172477
CONSIG,2021-09-17,16,61.9455555,5.3480555,182,394,45,5,571,38,0,44,219,790,884,49,11.739598855760618
VEICULOS,2021-09-17,29,111.6369444,8.8211111,270,322,688,109,480,0,0,0,0,480,1277,16,3.984789541772263
CARTAO,2021-09-18,5,7.3227777,3.3663888,55,88,3,20,67,5,1,2,31,98,124,19,9.168160910579247
CONSIG,2021-09-18,12,31.6319444,19.1625000,222,35,40,2,409,12,1,4,15,424,471,35,8.347369572350432
VEICULOS,2021-09-18,12,47.6583333,0.0022222,30,453,341,59,210,0,0,0,0,210,610,17,4.406159297812074
CARTAO,2021-09-20,5,2.4005555,4.7961111,24,6,4,23,24,2,0,0,3,27,54,5,3.751736915238536
CONSIG,2021-09-20,15,60.8947222,6.7119444,166,275,63,6,586,24,4,28,189,775,876,51,11.463366531900207
VEICULOS,2021-09-20,28,97.5791666,9.1272222,228,482,518,121,736,0,0,0,0,736,1375,26,6.897431425276525
CONSIG,2021-09-21,16,59.5238888,6.7419444,169,282,50,6,617,23,3,23,153,770,852,48,11.619864434914926
VEICULOS,2021-09-21,30,113.1400000,13.7936111,393,828,516,101,675,0,0,0,0,675,1292,22,5.317740463628187
CARTAO,2021-09-21,5,8.4205555,5.1938888,97,1,1,27,140,0,0,0,1,141,169,28,10.356647351668979
CONSIG,2021-09-22,16,65.3561111,6.4972222,194,296,80,4,646,24,0,33,195,841,958,52,11.704397847467063
VEICULOS,2021-09-22,30,79.8800000,14.9902777,269,576,463,62,678,0,0,0,0,678,1203,22,7.146600767714979
CARTAO,2021-09-22,8,17.1872222,3.0644444,90,204,3,35,136,18,3,0,89,225,266,28,11.110196691630318
VEICULOS,2021-09-23,30,101.3766666,10.4775000,189,543,477,85,666,0,0,0,0,666,1228,22,5.954181411808530
CARTAO,2021-09-23,8,19.3077777,6.5902777,86,187,7,71,146,9,2,2,90,236,318,29,9.112653245095621
CONSIG,2021-09-23,17,69.2694444,8.2286111,217,262,84,8,762,39,1,22,155,917,1032,53,11.832554938654375
CARTAO,2021-09-24,8,9.2900000,12.5788888,100,11,7,57,98,2,0,0,6,104,168,13,4.755614266842801
CONSIG,2021-09-24,17,64.5525000,10.9369444,251,80,111,7,929,7,0,7,43,972,1097,57,12.875972358166337
VEICULOS,2021-09-24,26,66.1938888,8.3000000,151,482,419,77,501,0,0,0,0,501,997,19,6.725383886821439
VEICULOS,2021-09-25,6,16.7830555,0.0036111,29,232,100,1,80,0,0,0,0,80,181,13,4.765687053216839
CONSIG,2021-09-25,13,18.5372222,6.5941666,102,8,27,2,246,0,0,2,1,247,278,19,9.828346578537243
CARTAO,2021-09-25,5,1.6733333,9.2227777,16,4,2,15,13,0,0,0,0,13,30,2,1.193086218324581
VEICULOS,2021-09-27,21,77.2466666,0.0011111,65,1073,230,39,336,0,0,0,0,336,605,16,4.349639687585403
CARTAO,2021-09-27,7,6.9763888,10.5747222,44,2,6,24,83,0,0,0,2,85,115,12,4.842998227399342
CONSIG,2021-09-27,16,51.9683333,20.1300000,260,33,91,8,781,6,0,7,18,799,905,49,11.082086964562288
VEICULOS,2021-09-28,25,68.0175000,0.0008333,35,1555,262,5,368,0,0,0,0,368,635,14,5.410306044938865
CONSIG,2021-09-28,16,62.8691666,13.8627777,265,11,108,3,1004,2,0,6,2,1006,1123,62,13.110576139880898
CARTAO,2021-09-28,7,4.6036111,9.0908333,34,1,1,22,69,1,0,0,0,69,92,9,5.038539553752535
CARTAO,2021-09-29,8,15.1755555,14.5055555,110,0,9,65,217,0,0,0,0,217,291,27,7.311047055740651
CONSIG,2021-09-29,16,60.6541666,16.7911111,286,13,79,5,945,4,0,1,8,953,1038,59,12.305462997170045
VEICULOS,2021-09-29,26,61.3111111,9.2050000,191,547,331,69,679,0,0,0,0,679,1079,26,9.629005191878924
CARTAO,2021-09-30,8,11.2941666,16.7619444,64,1,5,52,180,0,0,0,0,180,237,22,6.415714540306133
CONSIG,2021-09-30,15,53.5069444,13.9477777,264,13,94,3,860,6,0,3,4,864,964,57,12.808591771435160
VEICULOS,2021-09-30,26,82.8027777,15.9236111,345,617,407,87,627,0,0,0,0,627,1121,24,6.350885584457606
VEICULOS,2021-10-01,21,77.6691666,1.7469444,104,1057,340,81,445,0,0,0,0,445,866,21,5.603397015718893
CARTAO,2021-10-01,7,8.9097222,14.7341666,60,0,12,39,121,0,0,0,0,121,172,17,5.117601447402430
CONSIG,2021-10-01,15,53.8152777,8.3355555,238,14,101,7,801,2,0,7,4,805,920,53,12.952360520776069
VEICULOS,2021-10-02,14,45.8236111,0.0011111,24,538,328,9,206,0,0,0,0,206,543,14,4.495390042977772
CARTAO,2021-10-02,4,7.1475000,10.9752777,28,0,3,42,99,0,0,0,0,99,144,24,5.462738726587168
CONSIG,2021-10-02,11,21.8327777,18.5216666,141,5,34,1,288,0,0,0,4,292,327,26,7.235882045210496
CARTAO,2021-10-04,6,3.8138888,13.9811111,20,0,3,29,48,0,0,0,0,48,80,8,2.697386906434392
CONSIG,2021-10-04,14,37.5255555,22.9188888,203,4,63,6,573,1,0,1,2,575,645,41,9.512867647058824
VEICULOS,2021-10-04,31,89.0797222,16.5358333,266,1036,697,90,713,0,0,0,0,713,1500,23,6.750899488711680
CARTAO,2021-10-05,8,10.0625000,15.8386111,48,0,5,38,166,0,0,0,0,166,209,20,6.408991463257689
CONSIG,2021-10-05,15,51.5502777,21.7200000,243,5,88,11,801,3,0,2,0,801,902,53,10.932127245775724
VEICULOS,2021-10-05,31,83.4858333,19.3900000,318,408,498,107,628,0,0,0,0,628,1233,20,6.104446298531401
VEICULOS,2021-10-06,31,78.6683333,9.5613888,153,618,472,84,549,0,0,0,0,549,1105,17,6.222392932590743
CARTAO,2021-10-06,7,8.8833333,17.4000000,87,0,6,67,125,0,0,0,0,125,198,17,4.755865567533291
CONSIG,2021-10-06,15,53.9461111,19.0105555,244,5,100,5,821,0,0,3,2,823,931,54,11.280668890208800
CONSIG,2021-10-07,13,42.8597222,15.5555555,191,2,90,6,660,0,0,1,1,661,758,50,11.315532941819825
VEICULOS,2021-10-07,25,68.9794444,9.9041666,200,683,726,59,479,0,0,0,0,479,1264,19,6.072237227138435
CARTAO,2021-10-07,9,11.8736111,13.9419444,96,8,6,47,175,0,4,0,0,175,232,19,6.778858569338039
CARTAO,2021-10-08,8,5.0005555,19.5716666,33,0,3,38,70,0,0,0,0,70,111,8,2.848745195568619
CONSIG,2021-10-08,15,43.8616666,28.6163888,231,7,93,2,640,1,0,4,2,642,741,42,8.857853526546349
VEICULOS,2021-10-08,22,55.2525000,4.8238888,155,503,419,86,391,0,0,0,0,391,896,17,6.508380534042307
CARTAO,2021-10-09,5,6.7938888,10.8786111,29,0,6,31,107,0,0,0,0,107,144,21,6.054604611684821
CONSIG,2021-10-09,8,10.8780555,19.3000000,87,1,20,1,155,1,0,0,0,155,176,19,5.136182472547197
VEICULOS,2021-10-09,10,16.6044444,3.8455555,64,208,100,12,139,0,0,0,0,139,251,13,6.797066014669927
CARTAO,2021-10-11,8,5.1875000,16.1469444,40,1,5,46,67,1,0,0,0,67,118,8,3.140461434300297
CONSIG,2021-10-11,15,24.5938888,39.1980555,130,5,50,3,357,2,0,1,1,358,412,23,5.611993851539945
VEICULOS,2021-10-11,29,56.2750000,8.7291666,177,638,305,82,613,0,0,0,0,613,1000,21,9.430164733029934
CONSIG,2021-10-12,3,1.0433333,0.4000000,4,0,2,0,13,0,0,0,0,13,15,4,9.006928406466513
VEICULOS,2021-10-12,14,60.1769444,0.0000000,26,459,437,144,242,0,0,0,0,242,823,17,4.021473709477144
CARTAO,2021-10-12,5,9.3813888,7.9280555,64,0,6,58,148,0,0,0,0,148,212,29,8.550245530699361
CONSIG,2021-10-13,16,23.2725000,40.0761111,135,5,67,5,332,1,0,3,1,333,408,20,5.256626690929820
VEICULOS,2021-10-13,29,86.6502777,0.0030555,105,1373,768,20,486,0,0,0,0,486,1274,16,5.608555162332667
CARTAO,2021-10-13,8,5.4077777,15.7655555,44,0,9,38,78,0,0,0,0,78,125,9,3.683879093198992
CARTAO,2021-10-14,7,14.3705555,9.3666666,41,139,15,40,126,10,1,0,72,198,254,28,8.341329838275563
CONSIG,2021-10-14,15,37.4077777,25.6172222,156,40,57,2,549,1,0,8,25,574,641,38,9.107497024990083
VEICULOS,2021-10-14,32,93.3508333,2.8877777,178,908,1001,35,390,0,0,0,0,390,1426,12,4.052427559971021
CC,2021-10-14,2,7.9386111,0.0016666,100,0,13,119,21,0,0,0,0,21,153,10,2.644743746720308
CARTAO,2021-10-15,8,8.8822222,17.6094444,65,20,10,46,115,0,0,0,15,130,186,16,4.907203523120478
CC,2021-10-15,5,13.6788888,0.0005555,116,0,13,182,30,0,0,0,0,30,225,6,2.193071518498964
VEICULOS,2021-10-15,29,87.7444444,10.4436111,170,862,715,88,450,0,0,0,0,450,1253,15,4.583042178133231
CONSIG,2021-10-15,15,30.6083333,24.9594444,119,91,41,3,358,10,0,16,58,416,476,27,7.486353002339485
VEICULOS,2021-10-16,19,48.7452777,0.0013888,54,384,681,69,204,0,0,0,0,204,954,10,4.184901531728665
CARTAO,2021-10-16,6,5.8441666,11.9050000,15,60,4,21,42,10,1,0,28,70,96,11,3.943847128973191
CONSIG,2021-10-16,7,11.2711111,19.7150000,49,13,26,2,143,1,0,2,8,151,181,21,4.873151053339310
VEICULOS,2021-10-17,0,0.0000000,0.0000000,0,0,2,0,0,0,0,0,0,0,2,0,0.000000000000000
CARTAO,2021-10-18,8,4.7861111,16.2797222,34,6,10,20,63,0,0,0,4,67,97,8,3.180505557973021
CC,2021-10-18,2,7.4711111,0.0005555,62,0,4,117,8,0,0,0,0,8,129,4,1.070711577068927
CONSIG,2021-10-18,15,45.5908333,20.5330555,131,237,44,1,498,14,0,11,178,676,732,45,10.223234164825286
VEICULOS,2021-10-18,30,89.9872222,8.5263888,134,724,619,80,532,0,0,0,0,532,1231,17,5.400268998361760
CC,2021-10-19,5,15.6411111,0.0019444,173,0,25,192,41,0,0,0,0,41,258,8,2.620971322027879
CONSIG,2021-10-19,13,48.3841666,10.1922222,123,237,31,2,568,15,2,18,168,736,789,56,12.564789567279194
VEICULOS,2021-10-19,30,96.2102777,9.3130555,253,1064,919,97,475,0,0,0,0,475,1491,15,4.501374103673753
CARTAO,2021-10-19,8,12.0502777,18.2713888,33,137,6,29,98,18,1,0,76,174,210,21,5.738470840433134
CONSIG,2021-10-20,15,56.5094444,17.4408333,168,252,62,2,645,30,0,23,173,818,905,54,11.061486509328716
VEICULOS,2021-10-20,31,135.4727777,3.9669444,136,1579,1042,93,498,0,0,0,0,498,1633,16,3.571435686069050
CARTAO,2021-10-20,8,8.9619444,21.3827777,37,43,7,29,93,3,1,0,22,115,152,14,3.789785886251499
CARTAO,2021-10-21,8,13.7505555,16.7188888,59,156,13,23,114,17,5,11,60,174,226,21,5.710639073753305
CONSIG,2021-10-21,14,44.2086111,26.2255555,133,175,60,2,495,26,1,7,122,617,687,44,8.759953147738432
VEICULOS,2021-10-21,29,93.6369444,1.0708333,119,1197,736,109,397,0,0,0,0,397,1242,13,4.191841571148680
CONSIG,2021-10-22,15,25.3477777,38.4147222,74,134,22,2,209,13,0,13,92,301,338,20,4.720643011174280
CARTAO,2021-10-22,8,9.1008333,16.9938888,29,80,12,19,79,14,3,0,36,115,149,14,4.407021428343322
VEICULOS,2021-10-22,21,96.2927777,0.0022222,60,1118,586,72,362,0,0,0,0,362,1020,17,3.759281374941586
CARTAO,2021-10-23,4,0.7994444,8.5283333,3,8,1,6,8,2,0,0,0,8,15,2,0.857653365098273
CONSIG,2021-10-23,8,14.6352777,21.0966666,112,11,18,2,323,2,0,1,6,329,350,41,9.207447428771330
VEICULOS,2021-10-23,19,39.9213888,0.0008333,49,678,383,59,290,0,0,0,0,290,732,15,7.264124686891177
VEICULOS,2021-10-25,27,56.7950000,0.0030555,60,639,546,55,466,0,0,0,0,466,1067,17,8.204506218424927
CARTAO,2021-10-25,7,5.4588888,9.2225000,29,3,0,18,94,0,0,0,2,96,114,13,6.538890886042420
CC,2021-10-25,2,5.3488888,0.0002777,82,0,0,47,14,0,0,0,0,14,61,7,2.617230098146129
CONSIG,2021-10-25,15,31.6288888,30.1855555,128,89,46,2,467,17,1,15,48,515,579,34,8.331386047849298
VEICULOS,2021-10-26,23,63.6086111,5.5847222,209,773,554,79,577,0,0,0,0,577,1210,25,8.338953656421621
CARTAO,2021-10-26,8,16.1355555,16.9936111,71,118,11,47,165,13,5,1,60,225,289,28,6.791598541064017
CC,2021-10-26,2,6.4119444,0.0005555,87,0,0,69,16,0,0,0,0,16,85,8,2.495126705653021
CONSIG,2021-10-26,13,29.5938888,22.2588888,88,97,36,0,374,16,1,12,58,432,481,33,8.331279798575025
VEICULOS,2021-10-27,24,68.4952777,5.0144444,109,1218,560,62,562,0,0,0,0,562,1184,23,7.645247227313092
CC,2021-10-27,2,10.7213888,0.0016666,193,0,0,178,37,0,0,0,0,37,215,18,3.450509027795767
CARTAO,2021-10-27,8,8.7483333,22.7911111,48,85,5,31,77,17,4,2,28,105,147,13,3.329164538232548
CONSIG,2021-10-27,11,25.1802777,25.6694444,102,74,46,1,323,12,0,3,45,368,418,33,7.237011018305574
VEICULOS,2021-10-28,25,54.7633333,2.8041666,102,892,481,60,472,0,0,0,0,472,1013,18,8.199070656186216
CARTAO,2021-10-28,8,15.6666666,14.5375000,69,154,17,44,134,13,8,4,76,210,283,26,6.952683128707408
CC,2021-10-28,2,8.9852777,0.0011111,143,0,0,170,27,0,0,0,0,27,197,13,3.004543908998176
CONSIG,2021-10-28,11,22.4394444,26.8777777,76,61,34,1,273,7,0,5,40,313,353,28,6.346667267463473
CONSIG,2021-10-29,11,23.0255555,21.3041666,95,83,23,3,273,4,0,6,61,334,366,30,7.534448294660593
VEICULOS,2021-10-29,24,60.8400000,9.6402777,258,516,318,61,544,0,0,0,0,544,923,22,7.718471282352431
CARTAO,2021-10-29,8,15.4205555,11.8475000,78,141,13,50,144,16,2,2,55,199,266,24,7.297916772780523
CC,2021-10-29,2,5.3527777,0.0008333,99,0,0,119,8,0,0,0,0,8,127,4,1.494318476625331
CC,2021-10-30,2,8.6886111,0.0005555,65,0,0,98,8,0,0,0,0,8,106,4,0.920686678814616
CONSIG,2021-10-30,8,8.5611111,18.5158333,45,5,20,0,118,0,0,1,3,121,142,15,4.468746473527088
CARTAO,2021-10-30,5,11.0780555,6.0972222,29,144,1,24,95,9,2,1,45,140,168,28,8.151250990603419
VEICULOS,2021-10-30,16,35.1544444,6.9108333,114,620,120,58,253,0,0,0,0,253,431,15,6.014461650212963
CONSIG,2021-11-01,9,20.4202777,20.0100000,63,63,29,4,257,11,0,18,29,286,337,31,7.073906382043161
VEICULOS,2021-11-01,26,56.5230555,0.6319444,42,629,661,65,305,0,0,0,0,305,1031,11,5.336366022220278
CARTAO,2021-11-01,7,6.0191666,18.6638888,45,27,8,41,48,5,1,0,14,62,112,8,2.511844607749356
CC,2021-11-01,4,18.3900000,0.0022222,173,0,0,202,33,0,0,0,0,33,235,8,1.794236694254818
VEICULOS,2021-11-02,13,38.2694444,0.0019444,30,891,861,25,233,0,0,0,0,233,1119,17,6.088098884429186
CONSIG,2021-11-02,0,0.0000000,0.0000000,0,28,0,0,0,0,0,0,0,0,0,0,0.000000000000000
CARTAO,2021-11-02,7,1.6058333,13.0536111,11,8,1,16,10,1,0,0,5,15,32,2,1.023231136544511
VEICULOS,2021-11-03,23,53.4211111,7.4036111,140,701,505,31,470,0,0,0,0,470,1006,20,7.727121190670826
CARTAO,2021-11-03,8,20.3950000,8.8900000,170,2,17,82,305,1,0,0,1,306,405,38,10.449035342325423
CC,2021-11-03,9,29.9083333,0.0013888,270,0,9,383,47,0,0,0,0,47,439,5,1.571395402832598
CONSIG,2021-11-03,10,15.2419444,13.3841666,68,80,12,0,189,6,0,3,34,223,238,22,7.790090632095794
CARTAO,2021-11-04,8,21.7208333,9.3036111,106,181,8,94,205,23,2,5,93,298,407,37,9.605329131151064
CONSIG,2021-11-04,4,8.8402777,2.6813888,23,174,13,1,99,2,0,5,25,124,143,31,10.762331838565022
CC,2021-11-04,13,50.6141666,0.0050000,563,0,7,800,122,0,0,0,0,122,929,9,2.410154256457534
VEICULOS,2021-11-04,20,48.0905555,0.0013888,39,800,422,44,332,0,0,0,0,332,798,16,6.903443057569124
CARTAO,2021-11-05,8,16.8619444,11.5591666,68,174,8,45,136,22,0,6,100,236,295,29,8.303686617928770
CC,2021-11-05,6,21.7030555,0.0016666,78,0,0,335,16,0,0,0,0,16,351,2,0.737166771183946
VEICULOS,2021-11-05,16,40.1950000,1.6277777,74,550,295,21,297,0,0,0,0,297,613,18,7.101393445889401
CONSIG,2021-11-05,11,23.6552777,20.7472222,111,66,43,1,269,3,0,9,43,312,365,28,7.026631383368054
VEICULOS,2021-11-06,13,30.8061111,0.0008333,24,497,293,37,163,0,0,0,0,163,493,12,5.291014832514314
CONSIG,2021-11-06,4,5.0422222,8.3091666,66,13,9,0,67,4,0,1,6,73,83,18,5.467595963799022
CARTAO,2021-11-06,4,7.5352777,8.3005555,19,111,3,14,48,4,0,2,51,99,118,24,6.251644477187812
CC,2021-11-06,3,14.2708333,0.0013888,92,0,2,172,9,0,0,0,0,9,183,3,0.630595562475671
CC,2021-11-08,6,22.3775000,0.0047222,114,0,0,330,13,0,0,0,0,13,343,2,0.580818109610802
VEICULOS,2021-11-08,18,93.3955555,1.7825000,87,822,412,98,390,0,0,0,0,390,900,21,4.097583184732709
CARTAO,2021-11-08,8,6.4763888,19.0002777,48,14,5,44,59,2,0,1,7,66,116,8,2.590605783069475
CONSIG,2021-11-08,9,21.3169444,11.8155555,74,67,30,5,249,4,0,12,45,294,341,32,8.873462612238738
VEICULOS,2021-11-09,16,55.2191666,0.0013888,40,1097,612,131,333,0,0,0,0,333,1076,20,6.030363089429258
CONSIG,2021-11-09,7,8.2041666,2.3497222,24,190,8,0,107,3,0,2,19,126,136,18,11.938727167447492
CARTAO,2021-11-09,8,4.9566666,15.6866666,38,6,1,32,67,2,1,0,1,68,102,8,3.294041659938640
CC,2021-11-09,12,43.6438888,0.0061111,276,0,5,811,56,0,0,0,0,56,872,4,1.282932416953036
CARTAO,2021-11-10,8,22.9194444,5.0861111,148,145,9,65,271,16,1,2,62,333,410,41,11.890497917079944
CONSIG,2021-11-10,8,21.4572222,5.2694444,61,117,24,1,265,4,0,7,47,312,344,39,11.673734098278873
CC,2021-11-10,14,32.7552777,0.0038888,236,0,1,672,53,0,0,0,0,53,726,3,1.617867772379232
VEICULOS,2021-11-10,17,54.4797222,4.5222222,127,543,177,59,553,0,0,0,0,553,789,32,9.372572467009091
CC,2021-11-11,13,38.6855555,0.0069444,236,0,11,774,55,0,0,0,0,55,840,4,1.421464108031272
CARTAO,2021-11-11,8,21.5647222,8.6636111,104,190,19,90,175,21,1,2,92,267,379,33,8.832772784914815
CONSIG,2021-11-11,8,14.1330555,4.4408333,36,168,20,2,174,6,0,0,39,213,235,26,11.467711542487961
VEICULOS,2021-11-11,19,50.2830555,4.3822222,108,744,252,158,474,0,0,0,0,474,884,24,8.670952005894459
CC,2021-11-12,11,34.9480555,0.0050000,445,0,2,849,84,0,0,0,0,84,935,7,2.403223371029397
VEICULOS,2021-11-12,18,47.7911111,0.0008333,45,794,453,68,303,0,0,0,0,303,824,16,6.339980587151484
CARTAO,2021-11-12,8,15.1269444,10.2297222,100,20,11,73,202,1,1,0,13,215,300,26,8.479032470093335
CONSIG,2021-11-12,10,18.5472222,5.9322222,47,164,34,2,207,9,0,5,45,252,293,25,10.294351269772825
CARTAO,2021-11-13,4,8.2241666,8.2205555,28,75,7,36,76,2,2,0,24,100,145,25,6.080978361851996
CC,2021-11-13,8,16.1888888,0.0011111,117,0,1,280,22,0,0,0,0,22,303,2,1.358863495985176
CONSIG,2021-11-13,8,11.5330555,15.2769444,59,18,17,1,137,6,0,2,8,145,165,18,5.408429690414025
VEICULOS,2021-11-13,8,16.9338888,0.0013888,11,218,305,16,86,0,0,0,0,86,407,10,5.078157035773451
CONSIG,2021-11-15,0,0.0000000,0.0000000,0,60,0,0,0,0,0,0,0,0,0,0,0.000000000000000
CARTAO,2021-11-15,1,1.6633333,2.0638888,42,4,1,8,18,0,0,0,3,21,30,21,5.634222685944254
VEICULOS,2021-11-16,17,36.7891666,0.0019444,51,831,328,41,315,0,0,0,0,315,684,18,8.561850688572119
CONSIG,2021-11-16,9,19.0369444,11.4811111,60,78,18,1,1414,7,0,9,48,1462,1490,162,47.906066536203522
CC,2021-11-16,7,18.8205555,0.0025000,181,0,1,364,31,0,0,0,0,31,396,4,1.646916458834467
CARTAO,2021-11-16,7,2.0450000,7.8108333,10,5,2,32,14,0,0,0,3,17,51,2,1.724866830134438
VEICULOS,2021-11-17,19,48.1919444,4.0641666,151,740,371,414,442,0,0,0,0,442,1227,23,8.458340863907464
CONSIG,2021-11-17,11,19.3055555,20.0108333,62,72,18,1,3157,12,1,6,42,3199,3225,290,81.365560022326002
CARTAO,2021-11-17,7,4.2552777,5.6708333,29,0,1,15,74,0,0,0,0,74,90,10,7.455084793194157
CC,2021-11-17,6,16.6116666,0.0027777,159,0,1,316,22,0,0,0,0,22,339,3,1.324149000200629
CONSIG,2021-11-18,8,18.7527777,9.9580555,54,73,13,0,1522,4,1,4,55,1577,1595,197,54.927002002728355
VEICULOS,2021-11-18,20,63.5133333,2.8430555,93,857,417,97,353,0,0,0,0,353,867,17,5.319759045222975
CARTAO,2021-11-18,8,23.2408333,3.9850000,107,251,7,77,252,18,0,3,117,369,456,46,13.553304153530654
CC,2021-11-18,5,14.7877777,0.0022222,163,0,0,308,37,0,0,0,0,37,345,7,2.501690331304936
CONSIG,2021-11-19,7,16.4230555,12.8750000,31,78,15,0,1614,7,1,6,52,1666,1688,238,56.863841931110332
